IdCustomer,Text,Target
808,"la fixation des fils est très fragile, un grand nombre est détaché de la bavette juste en la fixant aux oreilles...",Negative
4326,Top du top rapport qualité prix,Positive
3698,Un excellent produit!,Positive
4191,Je l'ai donné comme cadeau,Neutre
3798,Je vous aime ????,Negative
4428,la partie rose nettoie bien mais la partie brosse n'est pas pratique. je conseille d'acheter qu'en cas de promotion.,Neutre
3047,un bon plan,Positive
4118,Les vouleurs sont brillants parfaits pour l'été,Positive
2127,jolie pas mal,Neutre
2375,Produit leger et pratique j'adore.,Positive
682,Assez bon produits,Positive
580,Bonne odeur et qualité /prix c est raisonnable,Positive
3344,La rapidité et bon anniversaire jumia,Positive
2946,Original. L'effet smooth est très agréable,Positive
2773,Bonne qualité,Positive
946,très bonne qualité,Positive
4364,Like it so much  ! Ce sérum est magique !!   Il estompe les ridules et donne un effet bonne mine ... ! Ps : Type de peau : Grasse qui devient déshydratée (mixte à sèche)en hiver avec des petites ridules ... Merci Jumia et laboratoires Dr Rashel,Positive
2698,bon qualité mais un peu cher,Positive
3285,Merci jumia pour cet article génial,Positive
1384,très bon produit et conforme à la commande,Positive
320,Pas avec l huile d olive,Positive
3784,Exellent prix et conforme à la photo,Positive
2681,J'ai tout de suite essayé le four et il fonctionne très bien,Positive
2977,De bonne qualité en plus fonctionne sur secteur de,Positive
267,parfait,Positive
335,Il n'a aucun effet vraiment je suis déçu de ce produit,Negative
3419,"Correct pour les travaux de bricolage, bon rapport qualité/ prix",Positive
3675,"La couleur se change vers le vert,j aime pas du tout",Negative
783,ordinaires,Positive
56,Je ne pensais pas que ça allait être aussi bon. Un vrai café turc,Positive
3961,J'aime bien sa texture,Positive
2132,Finition nul de la connexion entre le ruban et le transformateur,Negative
4314,Bonne quantité et qualité,Positive
637,Très bon produit,Positive
1072,Bon produit,Negative
19,Présentation Artisanal - Odeur pas très efficace.,Neutre
1225,Pratique,Positive
2726,Rapport qualité prix ça va,Neutre
3221,J'aime bien ????????????????????????????????????,Positive
973,Pratique,Positive
4254,"qualité prix
rien à reprocher",Neutre
440,"⭐⭐⭐⭐⭐ Crunchy nuts tres bon !!! , mieux que bonsoir ????",Positive
2265,"La 1ère fois je l'ai ai reçu avec partie électrique non fonctionnelle,  après réclamation et changement de produit  je l'ai reçu partie gaz non fonctionnelle,  malheureusement je n'ai fait attention qu'après 10 jours",Negative
2599,Bon et pratique,Positive
385,Le goût n'est pas délicieux du tout,Negative
3963,très bonne qualitée,Positive
3831,C'est un excellent produit,Positive
2542,Médiocre produit et instable.,Negative
3731,Les couleurs sont très jolies et pigmentées + colis bien protégé !,Positive
85,Produit bon qualité et bonne arôme,Positive
671,"Rien à dire , très bon !",Positive
1988,Bon qualité,Positive
1121,produit tunisien de bonne qualite.,Positive
1112,Il ce colle dans la main,Negative
2785,"Ces étagères sont un produit-favoris pour moi. Côté organisation, superbement pratiques et jolies !",Positive
2381,Parfaite,Positive
250,livraison rapide et produit conforme à la description,Positive
734,"Prix un peu élevé, sinon le plumeau fait l'affaire.",Neutre
2997,5m seulement,Negative
811,L'élastique se déchire dans même une minute,Negative
4485,un bon parfum qui dure longtemps sur les vêtements,Positive
215,Bon goût,Positive
1321,Très pratique pour un usage quotidien à la cuisine,Positive
835,trés bien,Positive
4195,Bon produit,Positive
898,Bon produit,Positive
4217,Prix de l'article,Positive
672,"Ça sent très bon, très bon rapport qualité/prix, je suis contente.",Positive
1091,Très utile,Positive
3612,"Très rapide de lissage
C'est extraordinaire",Negative
86,J'ai bc aimé merci,Positive
1710,Produit parfait et service vite fait ????,Positive
1537,Déjà essayé,Positive
874,Un excellent article qualité/prix de plus de la rapidité du service.merci et bonne continuation????????,Positive
1972,Pas vraiment confortable,Neutre
401,Efficace et bon marché,Positive
3481,Yzayet barcha et l'odeur désagréable,Neutre
1606,Magnifique,Positive
234,Bon rapport qualité prix,Positive
3038,Manque de résistance et risque de ne pas supporter le poids d'un séchoir.,Neutre
867,Qualité médiocre,Negative
3623,Cv pour le moment mais l'effet mta3ha juste une seule journée le lendemain yarja3 cha3rik lil état initial,Positive
2685,la ventilation n'est pas au top.,Positive
3561,J'aime bien ça rend les cheveux souples,Positive
3400,Il y parfait,Neutre
3826,bon produit par rapport à son prix,Positive
1205,La qualité. Et les prix,Positive
827,bon produit. fiable,Positive
755,"Bon produit, j'aime bien le fait qu'il est rechargeable !",Positive
3819,satisfaite,Positive
1253,Pas très pratique pendant les périodes de chaleur,Neutre
3876,J'aime ce produit,Positive
1901,Bonne qualité,Positive
1118,Super bonne qualité,Positive
2093,Bon produit,Positive
3929,J'ai bien aimé la texture et la fluidité.  Il  est onctueux et laisse le visage bien hydraté.  Je le conseille vivement,Positive
2538,Bonne qualité et joli,Positive
994,oreilles élastiques fragiles,Neutre
196,Très loin des autres  marques.,Negative
4081,Désinfecte bien avec un très bon rapport qualité-prix,Positive
413,Une quantité très généreuse,Positive
2655,Je considère que le prix est un peu élevé,Neutre
1778,Le rouge manque de puissance,Positive
1572,Un bon produit,Positive
425,Bniiiin mais malheureusement famma ka3bet louz morrr,Positive
653,Assez cher mais nettoie bien pas besoin de rincer la vaisselle,Positive
500,un des sacs est ouvert,Negative
1241,Ça passe pas mal!,Positive
1628,C'est pratique d'avoir 5L et le linge a une bonne odeur,Neutre
2299,satisfaite,Positive
1951,"Plus dense
Plus confortable",Negative
3658,Bonne qualite,Positive
1563,Il fait l.'affaire,Positive
4197,c'est magnifique pour lui offert comme cadeau .,Positive
1274,"Rapidité de livraison
Produit très efficace avec une très belle odeur qui reste longtemps dans l'espace",Positive
2561,"Très puissant, facile à utiliser et à laver",Positive
1669,Produit parfait sans odeur et ne tâche pas les vêtements cependant le prix est un peu exagéré et trop cher,Positive
317,Délicieux !!,Positive
1832,Marche très bien ne beug pas satisfaite,Positive
1066,Le produit est conforme mais en ouvrant le colis la boite était bousillée et les masques étaient éparpillés. Le vendeur aurait dû mieux emballer le produit. C'est des masques chirurgicaux censés nous protéger donc il faut bien les emballer!!!,Neutre
2226,très bien,Positive
1203,L'élastique ne tient pas bien,Neutre
4361,Un produit rafraîchissant et qui sent bon,Positive
1222,Très mauvais article ffp2 qui ne facilite pas la respiration et provoque étouffement,Negative
1739,Prix raisonnable qualité top,Positive
3297,Bon produit,Positive
4251,"Pigmentation et hydratation top 
Ça peut remplacer le RAL 
BRAVO",Positive
3501,Reste à confirmer avec une certaine durée de traitement,Positive
3538,Bon produit,Positive
3870,Les couleurs,Positive
3268,n'adhère pas et se détache facilement,Negative
3700,j'adore du packaging au rendu mais ne tient pas,Positive
2531,Je l'aime,Positive
1514,Rapport qualité prix excellent,Positive
624,"trop satisfaite de ce produit merci jumia  et merci  bio linge 
odeur trop fraîche et reste  au tissue  ",Positive
2947,Bon rapport qualité prix,Positive
2563,Je suis satisfate merci,Positive
2669,"- Étincelles électriques visibles à l’intérieur et à l’extérieur du grille pain quant on appui sur le bouton pour arrêter la cuisson
- Très forte projection des tranches de pain à la fin ou à l’interruption de cuisson, les tranches sont éjectés dans l'air et  tombent par terre ou sur la table :s",Negative
2129,"La taille de batterie est non adapté au nombre de LED. Elle ne tient pas beaucoup, même en mode détection de mouvement.",Neutre
1436,article conforme a la publicité,Positive
3926,j'ai trouvé cet article avec un prix plus bas ailleurs,Negative
1425,Délicieux,Positive
2370,Produits de qualités,Positive
538,Goût très bon pour toutes recettes avec ail,Positive
3402,Très utile pour les bricoleurs.,Positive
2102,Avec charge sans pil,Positive
1801,parfait,Positive
2898,Merci beaucoup,Positive
1673,Sans aucun effet sur les taches,Negative
2241,bien rembourré mais petit pour se coucher,Positive
1743,N'est pas tres efficace,Negative
503,absence total du goût du café !,Neutre
2212,Conforme et confortable,Positive
2839,Pas assez robuste,Negative
4185,Pas le même qualité que celle sur photo ce du papier pour couverture des cahier et des livres,Negative
2532,Satisfaite juste la soupière fiha tal9icha sghira  mais ma testaha9ecech retour ilfaut faire attention lors de l'emballage,Positive
4143,J'aime le concept mais les disques sont trop petits,Neutre
2973,Les lumières vacillent...,Negative
2489,Sécurité,Positive
4406,Top top top souple w 7niiina à pratique,Positive
2482,Vraiment c n'importe quoi,Negative
764,"Efficace et économique, domage que cet article n'est plus disponible sur jumia",Positive
3233,je recommande,Positive
1962,J'ai mal à la nuque en dormant avec l'oreiller,Neutre
407,"Top pour le ménage, merci",Positive
2852,N'est pas trop pratique,Neutre
67,"Bon rapport qualité prix : bon gout, mais petite contenance des capsules (5g)",Neutre
359,Bonne goût fruité,Positive
475,trop sucrée et gout leger,Negative
1054,Mauvaise qualité,Neutre
259,Bon goût,Positive
22,j'adore la gamme Bingo ce me plait et je vais acheter encore inchallah,Positive
4248,J aime top et merci pour le cadeau ♥️,Positive
1017,Bon produit,Positive
3499,Bioxsine tres efficace et j ai reçu la commande tres rapidement merci bcp ????,Positive
1766,Côté esthétique j'adore laisse à l'installer,Positive
2349,Très beau rideau,Positive
4486,Bon produit,Positive
3515,J'ai aimé ce produit,Positive
1648,Articles identique à la description,Positive
1461,bon produit,Positive
2948,"article merveilleux et autonomie acceptable, je recommande",Positive
518,Excellent pour préparer la soupe. Excellente combinaison prix - qualité.,Positive
220,Le meilleur,Positive
2967,Produit sans problèmes et très joli,Positive
4006,Très mauvaise texture,Negative
528,Bonne qualitè,Positive
1157,Il est parfait.,Positive
4171,C'est une bonne marque.,Positive
2234,il est bien,Positive
2077,Bonne affaire au prix auquel je l'ai prise ( 17 dt) sinon le prix indiqué au début c'est ouuf (49.9dt),Neutre
2313,Qualité a9al barcha mel moyenne,Negative
1980,il ne sont pas orthopédique !!!!,Negative
3027,"A Sotufab, c est malheureux de manquer une notice d assemblage!!",Positive
207,Noisettes sans Cacao,Positive
2303,"Bonne qualité, les adhésifs sont efficaces. Très satisfait",Positive
2491,Le prix le plus bas sur le marchè,Positive
3155,Livraison rapide,Neutre
1619,Offre black friday a ne pas rater,Positive
23,Présentation Artisanal - Odeur pas très efficace.,Neutre
2123,C'est très très bien,Positive
2873,Carafe filtrante conforme aux annonces de la marque Brita;,Positive
3188,Bonne qualité. Collé sur un mur.. parfait.,Positive
2517,"Très bonne qualité d'inox 
Livraison rapide ????????",Positive
1301,Il sent le parfum d’homme mais pas aussi gênant que ça haha,Positive
2825,Ça ne se fixxe pas,Negative
2702,"Vraiment elle est top elle ne colle pas et rapide à  chauffer, Vraiment je ne regrette pas mon achat",Positive
4005,Bon produit,Positive
4070,Super pigmentée .. ça peut être utilisé com fard à paupières aussi,Positive
484,Bon produit,Positive
3470,quantite et qualite super,Positive
614,"very good , lezmek testa3mel akther chwaya quantité mel liquide mte3 les autres marques mais par rapport qualité-prix tayara",Positive
422,bonne qualité,Positive
842,Livraison rapide et Rapport qualité prix acceptable,Positive
795,"Excellente qualité 
Bavette chirurgicale conforme aux normes",Positive
3379,"facile à poser, lavable et beau sur un mur",Positive
4040,La couleur est légèrement plus foncé que l'emballage,Positive
4329,Bon produit,Positive
3979,pas mal,Positive
1469,son odeur est agréable efficace pour le linge pas trop sale,Positive
834,Bonne Qualité!,Positive
3668,Très satisfaite,Positive
4439,J'aime beaucoup l'odeur et en plus elle dure très longtemps ????????,Positive
3332,Bon qualité,Positive
1450,Bon rapport qualité prix,Positive
1,Bon produit,Positive
2096,Il manque le câble alimentation,Negative
2447,Conforme au détail,Positive
4295,Très pratique,Positive
1696,Confortable protection parfaite,Positive
576,Un produit exceptionnel,Positive
3869,"Flop, qualité 5ayba",Negative
3104,Ne conseils pas,Negative
3755,produit professionelle,Positive
564,Top 5 étoiles,Positive
602,Instable sur le plan odeur et densité. En tout cas pas conforme à sa première apparition.,Negative
1395,Mauvais produit de l’eau il ne contient pas de l’alcool,Negative
1936,bonne qualité,Positive
785,Bonne qualite,Positive
1053,"Parfait, confortable .",Positive
4133,Je n'aime pas les vernis avec paillettes,Negative
610,bon produit,Positive
2474,Excellent pour cuire de la viande. Hermétique et pas très lourd. Je recommande !,Positive
1568,produit satisfaisant,Positive
172,Un bon produit,Positive
1873,Article ne vaut pas 80 dt c trop cher par rapport a la qualité du matière,Negative
1912,Bon produit qui aurait pu être mieux s'il avait les bords arrondis !,Positive
4010,Parfait,Positive
2612,Un bon produit /qualité-prix,Neutre
4173,Très fragile et très petit,Negative
3572,bien pour les cheuveux courtes le baby hair,Positive
217,Bien pas mal,Positive
3825,Bon produit,Neutre
2745,Ma mère est satisfaite,Positive
1287,Ma fille a beaucoup aimé,Positive
10,Un bon produit,Positive
679,il n'ai pas concentrés il nettoie pas bien le linge je ne conseille pas aux acheteur,Neutre
723,Souple... J'aime,Positive
4149,Très bon produit. Merci pour le cadeau aussi,Positive
2884,Qualité très basique,Positive
1056,Bon produit,Positive
303,Avant c'était mieux .thon blanc et mateux,Negative
4322,Produit nul il sert à rien,Negative
3462,"L'odeur ne dure que le temps de la vaporisation.
Produit totalement inutile",Negative
2235,Conforme à la description,Positive
4449,J'aime cette parfum elle est magnifique,Positive
1515,"Bon produit 
nettoyage et odeur fraîche",Positive
3142,"Nice, rapport qualité prix!",Positive
2912,merci jumia je suis très satisfaite,Positive
1923,Pas le temps de l'utiliser,Neutre
3895,Toutes les nuances se ressemblent. N'est pas efficace,Negative
541,Condiment bénéfique pour la santé,Positive
964,Trop concentré et poucentage d'alcool non mentionné,Negative
511,livraison rapide et produit conforme à la description,Positive
1680,Devrait être un peu plus absorbant,Positive
3701,Qualité 10/10,Positive
4403,Rapport qualité prix top,Positive
1604,Produit trop liquide et bouteille n'est pas plastifiée au niveau du bouchon.,Negative
3214,Nombre de batton doit double,Positive
3977,Résultat non conclu,Neutre
248,Gagneraient à être mieux emballées,Neutre
3609,Mauvais lissage. Laisse les cheveux bouffis,Negative
2736,Trés pratique,Positive
1769,Bon produit,Positive
2656,Qualité et prix acceptable,Positive
2935,bon produit,Positive
3162,Pratique. N'occupe pas beaucoup de place,Positive
1413,Renforcer l'attache du lacet au masque,Negative
4330,Très bonne qualité,Positive
32,Meilleur Lait en Tunisie,Positive
817,Bon produit,Neutre
3542,Satisfaite,Positive
3234,Produit de bonne qualité,Positive
476,J'ai un avis mitigé sur le miel mais pollen excellent,Neutre
4475,Je recommande pour ceux qui aime les parfums  sucrée,Positive
211,Un délice,Positive
4194,C pas la bonne marque de matière,Negative
273,Bon produit,Neutre
688,bon rapport qualité prix,Positive
4227,Excellente comme la photo exactement ????. Merci,Positive
1750,Nul je ne le recommande pas,Negative
2787,"Bonne qualité, je recommande",Positive
958,Prix raisonnable,Positive
2512,Conforme à sa description,Positive
3256,Qualité médiocre,Negative
2524,Très bonne qualité,Positive
3939,"Couvrance parfaite mais couleur trop foncé pour medium teinte numero 2. La prochaine fois, je recommande la plus claire.",Positive
15,pratique  au salle de bain,Positive
1282,Très satisfaite,Positive
3450,Bon produit,Positive
3978,J'adore juste rodou belkom m couleur de teint khtr 030 fetha f denya par rapport e taswyra,Positive
4044,Dessèche les lèvres et trop mate à mon goût,Neutre
1471,Produit efficace avec une très agréable odeur !,Positive
97,Robusta pur a mélanger avec l'arabica,Positive
4430,Le produit est super,Positive
2566,Je l'ai utilisé et je suis satisfaite. Je le conseille à tous ceux qui hésitent.,Positive
2170,Satisfaite,Positive
3350,très bon produit,Positive
308,bonne qualité,Positive
1626,J aimée,Neutre
2421,une très bonne qualité,Positive
4348,"une bonne crème visage, facile à utiliser
une bonne hydratation
une bonne mine au réveil
j dois attendre qlq jours pour juger son efficacité sur les taches brune de visage",Positive
2486,C très pratique et utilisation facile,Positive
4438,Je n aime pas l odeur,Negative
2774,Trop pratique,Positive
3943,Couvrante w matzayatch je recommande,Positive
3839,Qualité et prix,Positive
639,Le flacon est disproportionné par rapport au liquide  :risque de cassure du fond,Positive
396,Utile pour beaucoup de travaux ménagers,Positive
3456,Produits au top livraison au top,Positive
3174,"bonne qualité, taba3t instruction just s3iba chwaya fil fixation",Positive
3867,J'adore ce produit sa qualité ainsi son odeur sont formidables,Positive
2836,La taille très grand par rapport a la photo,Neutre
849,Super Qualité  et prix,Positive
941,Bon produit,Positive
979,Bon produit mais pas le top,Neutre
1185,Moyen qualité,Positive
2798,"Bonne qualité, utilisation facile",Positive
1179,Une qualité très modeste pour un masque ffp2,Negative
1715,Je recommande ce savon idéal pour nettoyer la peau grasse,Positive
3495,J aime . Fait l affaire,Positive
3369,"C'est top, côté esthétique et très facile à poser !",Positive
3666,Trop cher et 8 pièces sont similaires aucune différence entre eux,Negative
390,Je recommande,Positive
2926,"La qualité n est pas excellente , et me fallait ajuster la tête de la lampe car je l ai trouvé un peu écrasé dans l emballage , le produit est très fragile .mais  concernantle délais de livraison est excellent ,",Neutre
1539,Très efficace contre les tâches,Positive
2116,Satisfait,Positive
2488,elle n'est pas mal un bon rapport qualité prix,Positive
38,Délicieux ????,Positive
3771,"Vraiment c'est parfait, les paillettes sont super jolie et le colle il tient beaucoup mer i jumia",Positive
1815,volume non reglable en utilisant une carte memoire ou flash disc externe,Negative
2189,je suis satisfait,Positive
2875,Magnifique,Positive
2857,Bien mais non conforme à l'image postée,Positive
2956,Facile a installer et pratique.,Positive
1583,j'aime bcp l'odeur et la fraicheur du linge après chaque lavage ! je vous invite à l'essayer et je vous garantie que vous n'acheterez que cette marque !,Positive
2201,qualité pas top mais vu le prix très bas je m&#039;y attendais un peu ,Neutre
881,Conforme au description,Positive
3557,Très satisfaite  merci beaucoup,Positive
2343,Hautement recommandé,Positive
2055,"Conforme au catalogue, j'espère que jumia continue à préserver l'image de confiance auprès de ses clients.Merci",Positive
656,Bon produit,Positive
519,Bonne Qualité,Positive
4042,Couleur mezien sans transfert et qui dure longtemps,Positive
1028,mauvaise odeur...,Neutre
1783,"Le blanc est correct, mais les couleurs sont peu lumineux, mais ce n'est pas grave. Le produit est bon dans l'ensemble.",Positive
2247,Très mauvais qualité ????????,Negative
2788,Je recommande,Positive
2580,service parfait,Positive
2144,"Bon produit, satisfaisant",Positive
2374,Léger et efficace,Positive
2281,tout super très satisfait,Positive
2224,Il est très difficile de gonfler le pouf. Même après y être arrivé il ne reste pas gonflé plus d'une semaine pourtant il n'y a aucun trou..,Negative
3493,Bonne qualité,Positive
748,le seau n'est pas grand (  trois litre plus ou mois )et lors de l'essorage l'eau sale fini avec l'eau propre de nettoyage ! la Tête de vadrouille n'est pas très large ..sinon c'est pas mal comme nettoyage,Neutre
2628,هائلة surtout pour griller impécabĺe,Positive
1761,"Pourquoi écrire un aspirateur souffleur
Alors qu'il s'agit d'un simple souffleur il n'aspire
Rien . Je n'ai plus confiance en Ingco.",Neutre
662,"Très bon produit. Prière d'importer les packs de 68 pastilles aussi.
et d autres marques comme ""Sun"".",Positive
3254,Conseils,Neutre
4053,Tenue texture couleur tout est parfait,Positive
3404,Produit identique à celui commandé. Livreur poli et pro. J'aime,Positive
1276,Produit conforme à la description,Positive
4489,Bonne odeur ne dure pas longtemps,Neutre
2373,léger mais il fait beaucoup de bruit et parfois l'eau coule au lieu de la vapeur,Negative
1516,Fait l'affaire !,Neutre
852,très confortables et magnifique,Positive
2477,Qualité incontestable mais la poêle est lourde à l’utilisation ce qui pénalise l’aspect pratique,Neutre
1161,"J'aime ça, merci pour le service pro",Positive
1737,Il ne cuit pas bien les gaufres car ne chauffe pas suffisamment longtemps.,Negative
1494,Bon produit,Positive
332,Mauvaise qualité,Negative
2551,"Bon produit, puissant et silencieux.",Positive
154,Bonne qualité,Positive
4338,Il n'a été pas efficace,Negative
937,Bien produit,Positive
3777,Très bon produit excellent... Pensez a vendre des tubes de colle en plus puisque réutilisable,Positive
1417,Très bien,Positive
2990,Magnifique,Positive
1465,"very good , lezmek testa3mel akther chwaya quantité mel liquide mte3 les autres marques mais par rapport qualité-prix tayara",Positive
2255,Service super logistique aussi communication aussi,Positive
1015,bon produit,Neutre
2293,"un cercle en carton ça sera mieux que la règle en carton qui n'est pas rigide pour la mise en place des repères pour les nombres, mais à la fin c'est très beau à voir :D",Positive
2547,Produit non fonctionnel a la réception,Negative
473,C pas du miel pur,Negative
2582,"La machine marche super bien 
Et la cuisson de gaufres très rapide",Positive
40,Eau minéral,Positive
1531,Bon produit. Très bon rapport qualité prix,Positive
1437,Bon produit,Positive
577,"Un bon rapport qualité-prix, j'adore l'odeur et il est assez concentré",Positive
306,Du vrai thon frais à l'huile d'olive !,Positive
4331,je n'aime pas le cire et l'appareil très chauffante peut te brule quand tu passe  le cire sur ta peau.,Negative
3171,Produit conforme aux images et au descriptif,Positive
1746,Aucun effet sur les moustiques.,Negative
773,Odeur citron... Fait ce qu'il faut,Positive
1578,Super par rapport au prix,Positive
4249,Merci pour le cadeau .,Positive
3,Efficace contre les odeurs...,Positive
3756,Très bonne qualité,Positive
1189,Bon rapport qualité prix,Positive
4313,Satisfaite,Positive
2383,Nulle par rapport qualité prix,Negative
3313,Satisfait,Positive
159,L'arôme est moyen,Neutre
3317,"Qualité / Prix ????????????????
Je recommande le produit, le vendeur et bien sûr Jumia",Positive
4427,Ne plus vendre cet article,Negative
2433,Produit solide et assez qualitatif,Positive
2809,Produit très difficile à assembler,Negative
949,Bien sèche vite et surtout ne colle pas,Positive
180,J ai apprécié,Positive
1676,Pratique et fonctionnel,Positive
3959,Je l'adore,Positive
2397,Excellente qualité,Positive
3260,Merci c'est comme je souhète ????,Positive
212,Goût et qualité très moyenne vu la provenance....,Negative
2192,rangement interieur impecable,Positive
793,Un bon produit,Neutre
2807,Robuste et pratique,Positive
2928,"Une lampadaire excellente, les matériaux sont supers et la finition est irréprochable!",Positive
1953,Satisfaisant,Positive
59,Bon café,Positive
1779,Conforme à la description,Positive
4073,Les couleurs sont vraiment wow,Positive
1117,"Il faut marquer de manière bien visible sur l'emballage et le récipient la composition exacte chiffrée quantitativement du produit le gel hydroalcoolique : quel ou quels alcool quantité volumique et formule chimique correspondantes  , même choses pour les autres composants.
Exactement comme pour les médicaments ou la pharmacie blanche .
Marquer aussi les consignes de sécurité en cas d'accident.
Merci",Positive
4156,il y a tout ce qu'il faut et le packaging est sympa,Positive
2586,Bon produit,Positive
3075,"Rapidité, produit réel conforme au produit exposé au site",Positive
3150,Identique au photo,Positive
4352,Très Satisfaite <3,Positive
77,Bon rapport qualité prix. Capsules meilleures que la concurrence pour un prix similaire,Positive
3255,Utile pour bureau,Positive
3952,Facile à appliqué ne coule pas.,Positive
3824,Rapport qualité prix bien,Positive
2650,Bonne opportunité,Positive
2073,tres bonne calite  je suis satisfait merci jumia,Positive
1644,pas très efficace,Neutre
1098,J'aime bcp odeur très agréable et ne colle pas,Positive
612,pas tellement,Neutre
3181,"Colle très bien au mur, le design correspond et de bonne qualité et la taille correspond à ce qui est dit dans la description. Je recommande ce vendeur honnête.",Positive
1850,le côté adhésif se décolle assez vite,Neutre
3645,Bon produit,Neutre
4099,Couleur du vernis c est pas  le même aussi couleur du gloss,Negative
912,Qualité de la bavette noir est médiocre. Les autres  ok!,Neutre
3565,Vraiment je suis déçu de ce produit,Negative
2498,Qualité top,Positive
4061,Texture excellente et rapport qualité prix top .,Positive
2727,Ca fait l'affaire,Neutre
3444,Une clé normale est plus efficace.,Neutre
3087,Article de bonne qualité,Positive
2275,je suis très content,Positive
2850,Thermos qui tient bien la chaleur et le froid + bien protégé,Positive
2195,Il est vraiment bien et plus que grand que je ne pensait ! Mon chien l'adore,Positive
2411,"Répond aux attente de toute ménagère, très pratique et légère",Positive
3023,C est un rangement ideal pour le maquillage et les pommades,Positive
3288,produit correct,Positive
1349,Le prix de la livraison est trop,Positive
3017,Il est bien mais pour les dimensions des nouvelles machines comme LG ou Samsung,Neutre
1501,Très bon rapport qualité/prix,Positive
2156,C’est très jolie ❤️❤️❤️✨,Positive
1579,odeur tres agreable et dure.,Positive
254,Je n'aime pas,Negative
1788,"La lumière blanche est puissante.
Les autres couleurs sont très vives.
Just la chambre doit être sombre pour avoir un très bel effet.",Positive
1633,Un très bon produit,Positive
799,pas mal,Positive
2240,Conforme aux attentes et au descriptif,Neutre
70,Très bon café c est la deuxième fois que je commande avec en supplément un petit cadeau merci et bonne continuation,Positive
4085,"Conforme à la description.
Toutes les couleurs dispo et réelles
Très satisfaite thks",Positive
3272,Très pratique .. ama y5azou fisa3 doub ma ymesou lmè,Positive
1573,"J'ai nettoyé la hotte de ma cuisine à l'aide de ce produit c'est un produit très efficace, résultat superbe et changement radical. Mais cela ne rendra pas le produit comme neuf.. ;)",Positive
2543,Pratique et ça prend pas de temps ni de place. Je recommande,Positive
3361,Trés bonne qualité,Positive
622,Beau produit,Positive
1030,Meilleur,Positive
